Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,160,130,-0.83,1.71,2.59,-1.07,-4.04,-2.51,2.13,3,8,-3.88,3.56,0.38,-0.53,-0.01,81,60,25,21
NIFTY,160,140,-2.15,1.35,1.76,-0.6,-4.65,-2.55,2.01,3,6,-4.02,2.94,0.37,-0.55,-0.02,82,59,24,22
NIFTY,160,150,-2.88,1.14,1.13,-0.87,-4.27,-2.39,1.84,3,6,-4.02,2.81,0.37,-0.53,-0.02,80,61,24,22
NIFTY,160,160,-3.38,1.01,0.72,-1.07,-4.05,-2.38,1.71,3,6,-3.51,2.69,0.37,-0.52,-0.02,79,62,23,23
NIFTY,160,170,-3.8,1.05,0.57,-1.42,-4.0,-2.38,1.58,3,6,-3.51,2.62,0.37,-0.5,-0.03,77,64,24,22
NIFTY,160,180,-3.64,1.17,0.9,-1.55,-4.16,-2.38,1.52,3,6,-3.51,2.5,0.36,-0.51,-0.03,79,62,23,23
NIFTY,160,190,-4.03,1.06,0.8,-1.31,-4.59,-2.38,1.32,3,6,-3.51,2.44,0.36,-0.51,-0.03,78,63,22,24
NIFTY,160,200,-5.28,0.42,0.65,-1.32,-5.02,-2.38,1.24,3,6,-3.51,2.38,0.35,-0.52,-0.04,78,63,22,24
NIFTY,160,210,-5.15,0.08,0.98,-1.09,-5.12,-2.38,1.14,3,7,-3.51,2.61,0.35,-0.51,-0.04,78,63,25,21
NIFTY,160,220,-6.12,-0.32,1.01,-1.13,-5.68,-2.38,0.91,3,7,-3.51,2.38,0.35,-0.52,-0.04,77,64,24,22
NIFTY,160,230,-4.76,0.99,1.01,-0.94,-5.83,-2.38,0.91,3,7,-3.51,2.38,0.34,-0.5,-0.03,78,63,25,21
NIFTY,160,240,-5.08,1.15,0.83,-0.94,-6.12,-2.38,0.91,3,7,-3.51,2.38,0.34,-0.5,-0.04,78,63,25,21
NIFTY,160,250,-5.5,1.06,0.79,-0.87,-6.48,-2.38,0.91,3,7,-3.51,2.38,0.34,-0.5,-0.04,78,63,24,22
NIFTY,160,50,4.15,3.08,10.57,-4.77,-4.73,-4.41,3.36,8,8,-7.63,9.22,0.73,-0.77,0.03,75,66,21,25
NIFTY,160,60,-0.97,2.9,8.59,-7.43,-5.03,-4.55,3.18,6,6,-6.27,6.53,0.62,-0.79,-0.01,78,63,26,20
NIFTY,160,70,1.51,1.91,10.49,-6.76,-4.13,-3.23,3.05,6,8,-6.26,7.1,0.55,-0.75,0.01,82,59,25,21
NIFTY,160,80,1.57,1.38,8.44,-5.08,-3.18,-3.31,2.87,4,8,-4.48,6.16,0.49,-0.67,0.01,83,58,25,21
NIFTY,160,90,3.65,4.07,7.18,-5.64,-1.96,-2.44,2.67,5,5,-4.65,4.62,0.46,-0.57,0.03,81,60,27,19
NIFTY,170,100,3.84,3.62,6.46,-4.3,-1.95,-2.67,2.54,5,6,-3.76,3.86,0.44,-0.55,0.03,82,59,28,18
NIFTY,170,110,4.64,2.84,5.06,-0.96,-2.3,-2.67,2.43,4,8,-3.92,4.67,0.42,-0.55,0.03,85,56,26,20
NIFTY,170,120,0.82,1.55,3.61,-1.16,-3.19,-2.67,2.23,4,8,-3.92,4.16,0.42,-0.52,0.01,79,62,24,22
NIFTY,170,130,-0.86,1.61,2.4,-0.92,-3.94,-2.74,2.13,3,8,-4.0,3.56,0.39,-0.54,-0.01,81,60,24,22
NIFTY,170,140,-2.18,1.25,1.57,-0.45,-4.55,-2.78,2.01,3,6,-4.14,2.94,0.38,-0.56,-0.02,82,59,23,23
NIFTY,170,150,-2.91,1.04,0.94,-0.72,-4.17,-2.53,1.84,3,6,-4.14,2.81,0.38,-0.55,-0.02,80,61,23,23
NIFTY,170,160,-3.41,0.92,0.53,-0.91,-3.95,-2.4,1.71,3,6,-3.63,2.69,0.38,-0.54,-0.02,79,62,23,23
NIFTY,170,170,-3.83,0.95,0.38,-1.27,-3.9,-2.4,1.58,3,6,-3.63,2.62,0.38,-0.52,-0.03,77,64,23,23
NIFTY,170,180,-3.67,1.08,0.71,-1.4,-4.06,-2.4,1.52,3,6,-3.63,2.5,0.37,-0.53,-0.03,79,62,22,24
NIFTY,170,190,-4.06,0.97,0.61,-1.15,-4.49,-2.4,1.32,3,6,-3.63,2.44,0.37,-0.52,-0.03,78,63,22,24
NIFTY,170,200,-5.31,0.33,0.46,-1.17,-4.92,-2.4,1.24,3,6,-3.63,2.38,0.36,-0.54,-0.04,79,62,22,24
NIFTY,170,210,-5.18,-0.02,0.79,-0.94,-5.02,-2.4,1.14,3,6,-3.63,2.38,0.36,-0.52,-0.04,78,63,24,22
NIFTY,170,220,-6.15,-0.41,0.82,-0.98,-5.57,-2.4,0.91,3,6,-3.63,2.38,0.35,-0.52,-0.04,77,64,24,22
NIFTY,170,230,-4.8,0.9,0.82,-0.79,-5.73,-2.4,0.91,3,6,-3.63,2.38,0.35,-0.5,-0.03,78,63,25,21
NIFTY,170,240,-5.11,1.06,0.64,-0.79,-6.02,-2.4,0.91,3,6,-3.63,2.38,0.35,-0.49,-0.04,77,64,25,21
NIFTY,170,250,-5.53,0.97,0.6,-0.72,-6.38,-2.4,0.91,3,6,-3.63,2.38,0.34,-0.5,-0.04,77,64,24,22
NIFTY,170,50,4.12,2.98,10.38,-4.62,-4.63,-4.42,3.36,8,8,-7.75,9.22,0.74,-0.78,0.03,75,66,21,25
NIFTY,170,60,-1.0,2.8,8.4,-7.28,-4.93,-4.57,3.18,6,6,-6.39,6.53,0.63,-0.8,-0.01,78,63,25,21
NIFTY,170,70,1.48,1.82,10.3,-6.61,-4.03,-3.26,3.05,6,8,-6.38,7.1,0.56,-0.76,0.01,82,59,24,22
NIFTY,170,80,1.54,1.28,8.25,-4.93,-3.08,-3.34,2.87,4,8,-4.6,6.16,0.5,-0.69,0.01,83,58,25,21
NIFTY,170,90,3.62,3.98,6.99,-5.49,-1.86,-2.67,2.67,5,5,-4.66,4.62,0.47,-0.58,0.03,81,60,27,19
NIFTY,180,100,4.0,4.02,6.43,-4.34,-2.11,-2.8,2.57,5,6,-3.93,3.86,0.44,-0.57,0.03,83,58,29,17
NIFTY,180,110,4.8,3.24,5.03,-1.0,-2.46,-2.8,2.57,4,8,-4.1,4.67,0.42,-0.57,0.03,86,55,27,19
NIFTY,180,120,0.98,1.95,3.58,-1.2,-3.35,-2.8,2.35,4,8,-4.1,4.16,0.42,-0.54,0.01,80,61,25,21
NIFTY,180,130,-0.69,2.01,2.37,-0.96,-4.11,-2.88,2.24,3,8,-4.17,3.56,0.39,-0.56,-0.0,82,59,25,21
NIFTY,180,140,-2.02,1.65,1.54,-0.48,-4.72,-2.92,2.01,3,6,-4.32,2.94,0.38,-0.58,-0.01,83,58,24,22
