Underlying,Call HSL,Put HSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,200,130,-1.71,12.79,-9.46,-9.77,4.72,-5.61,2.32,6,8,-8.99,12.18,0.94,-1.27,-0.01,102,77,22,20
NIFTY,200,140,-0.11,12.0,-9.77,-9.43,7.08,-5.01,2.32,6,8,-8.29,11.98,0.96,-1.33,-0.0,104,75,20,22
NIFTY,200,150,4.97,11.56,-5.14,-9.42,7.97,-4.5,2.32,6,9,-9.25,11.8,0.95,-1.29,0.03,105,74,20,22
NIFTY,200,160,4.9,11.91,-5.62,-9.48,8.08,-4.6,2.32,6,9,-9.72,12.3,0.96,-1.36,0.03,107,72,19,23
NIFTY,200,170,10.29,11.15,-1.53,-7.8,8.46,-3.79,2.32,5,9,-7.39,12.97,0.96,-1.32,0.06,108,71,19,23
NIFTY,200,180,9.18,10.36,-1.25,-8.09,8.15,-3.79,2.32,5,9,-7.98,12.99,0.97,-1.37,0.05,109,70,19,23
NIFTY,200,190,8.79,9.38,-0.71,-7.31,7.43,-3.79,2.32,5,9,-6.72,12.99,0.98,-1.39,0.05,109,70,18,24
NIFTY,200,200,10.09,10.22,-0.85,-6.47,7.2,-3.79,2.32,5,9,-6.01,12.99,0.98,-1.38,0.06,109,70,18,24
NIFTY,200,50,-6.05,5.17,-7.03,-5.74,1.55,-6.18,2.83,6,6,-8.36,6.93,0.97,-1.33,-0.03,101,78,20,22
NIFTY,200,60,-0.12,6.29,-5.5,-5.6,4.7,-6.25,2.83,6,8,-8.59,12.04,0.9,-1.38,-0.0,108,71,22,20
NIFTY,200,70,0.07,6.89,-5.8,-9.38,8.35,-4.58,2.83,4,8,-9.1,13.29,0.93,-1.31,0.0,105,74,23,19
NIFTY,200,80,-5.63,3.88,-5.39,-13.59,9.47,-4.58,2.83,4,8,-9.19,13.42,0.9,-1.32,-0.03,104,75,21,21
NIFTY,200,90,-6.13,6.32,-7.66,-15.03,10.24,-4.58,2.28,5,8,-6.97,12.75,0.92,-1.27,-0.03,101,78,22,20
